case_id,squad,date,location,type
AURORA-2025-03-15,homicide,2025-03-15,Aurora Theater,murder
XYZ123456A,narcotics,2024-11-23,Downtown Park,drug offense
ABC789012B,fraud,2024-09-15,Riverside Mall,fraud
DEF345678C,homicide,2024-12-05,Central Station,murder
GHI901234D,burglary,2025-01-18,Eastside Alley,theft
JKL567890E,cybercrime,2024-10-30,West End Club,fraud
MNO123456F,organized crime,2025-02-10,Downtown Park,assault
PQR789012G,homicide,2024-08-22,Aurora Theater,murder
STU345678H,narcotics,2025-01-05,Riverside Mall,drug offense
VWX901234I,fraud,2024-11-12,Central Station,fraud
